repositorio,caminho_arquivo,nome_arquivo,keyword,timestamp,file_origem,linha,coluna,data_analise
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/domingos.json,domingos.json,prompt,2026-02-27 20:45:11,domingos.js,2,34,2026-04-01T08:13:07.897182
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/domingos.json,domingos.json,var,2026-02-27 20:45:41,domingos.js,3,1,2026-04-01T08:13:07.897190
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/domingos.json,domingos.json,for,2026-02-27 22:23:15,domingos.js,12,1,2026-04-01T08:13:07.897192
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/domingos.json,domingos.json,alert,2026-02-27 22:25:42,domingos.js,15,1,2026-04-01T08:13:07.897195
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/vaquinha.json,vaquinha.json,prompt,2026-03-12 19:48:00,vaquinha.js,3,29,2026-04-01T08:13:07.897221
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/vaquinha.json,vaquinha.json,for,2026-03-12 19:49:18,vaquinha.js,4,5,2026-04-01T08:13:07.897223
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/vaquinha.json,vaquinha.json,prompt,2026-03-12 19:54:31,vaquinha.js,5,29,2026-04-01T08:13:07.897225
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/vaquinha.json,vaquinha.json,alert,2026-03-12 19:56:13,vaquinha.js,8,5,2026-04-01T08:13:07.897227
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/vaquinha.json,vaquinha.json,for,2026-03-12 20:08:07,vaquinha.js,9,5,2026-04-01T08:13:07.897228
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/jogos.json,jogos.json,for,2026-02-26 20:04:05,jogos.js,3,1,2026-04-01T08:13:07.897247
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/jogos.json,jogos.json,let,2026-02-26 20:04:05,jogos.js,3,6,2026-04-01T08:13:07.897249
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/jogos.json,jogos.json,for,2026-02-26 20:04:23,jogos.js,12,5,2026-04-01T08:13:07.897250
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/jogos.json,jogos.json,let,2026-02-26 20:04:23,jogos.js,12,10,2026-04-01T08:13:07.897251
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/jogos.json,jogos.json,for,2026-02-26 20:13:38,jogos.js,16,1,2026-04-01T08:13:07.897253
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/jogos.json,jogos.json,alert,2026-02-26 20:28:34,jogos.js,16,1,2026-04-01T08:13:07.897254
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/main.json,main.json,alert,2026-02-20 20:35:53,main.js,1,1,2026-04-01T08:13:07.897268
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/par_impar.json,par_impar.json,prompt,2026-02-26 22:20:19,par_impar.js,2,22,2026-04-01T08:13:07.897283
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/par_impar.json,par_impar.json,else,2026-02-26 22:24:30,par_impar.js,8,1,2026-04-01T08:13:07.897285
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/par_impar.json,par_impar.json,alert,2026-02-26 22:24:57,par_impar.js,10,1,2026-04-01T08:13:07.897286
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,function,2026-03-25 21:17:02,funcao_soma.js,1,1,2026-04-01T08:13:07.897316
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,return,2026-03-25 21:17:54,funcao_soma.js,2,5,2026-04-01T08:13:07.897318
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,prompt,2026-03-25 21:18:47,funcao_soma.js,4,16,2026-04-01T08:13:07.897320
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,prompt,2026-03-25 21:20:01,funcao_soma.js,5,16,2026-04-01T08:13:07.897321
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,alert,2026-03-25 21:21:13,funcao_soma.js,6,1,2026-04-01T08:13:07.897322
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,function,2026-03-25 21:34:18,funcao_soma.js,7,10,2026-04-01T08:13:07.897324
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,prompt,2026-03-25 21:35:23,funcao_soma.js,7,28,2026-04-01T08:13:07.897325
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,alert,2026-03-25 21:39:10,funcao_soma.js,8,1,2026-04-01T08:13:07.897326
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,function,2026-03-25 21:41:02,funcao_soma.js,7,1,2026-04-01T08:13:07.897327
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,return,2026-03-25 21:41:47,funcao_soma.js,8,5,2026-04-01T08:13:07.897330
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,function,2026-03-25 21:43:11,funcao_soma.js,10,1,2026-04-01T08:13:07.897332
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,return,2026-03-25 21:44:04,funcao_soma.js,11,5,2026-04-01T08:13:07.897333
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,function,2026-03-25 21:44:41,funcao_soma.js,13,1,2026-04-01T08:13:07.897335
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,return,2026-03-25 21:45:30,funcao_soma.js,14,5,2026-04-01T08:13:07.897336
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,prompt,2026-03-25 21:48:25,funcao_soma.js,16,11,2026-04-01T08:13:07.897337
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,prompt,2026-03-25 21:52:45,funcao_soma.js,17,16,2026-04-01T08:13:07.897339
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,prompt,2026-03-25 21:53:20,funcao_soma.js,18,16,2026-04-01T08:13:07.897340
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,switch,2026-03-25 21:54:31,funcao_soma.js,19,1,2026-04-01T08:13:07.897341
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,alert,2026-03-25 21:55:29,funcao_soma.js,21,9,2026-04-01T08:13:07.897342
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,break,2026-03-25 21:56:00,funcao_soma.js,21,26,2026-04-01T08:13:07.897343
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,alert,2026-03-25 21:56:31,funcao_soma.js,23,9,2026-04-01T08:13:07.897344
Raqueli-S,/home/gilmar/Documents/algoritmos/logado-utfpr-ifam/logado-students/repos_logado/Raqueli-S/funcao_soma.json,funcao_soma.json,break,2026-03-25 21:56:59,funcao_soma.js,23,26,2026-04-01T08:13:07.897346
