keyword,timestamp,file,line,column,arquivo_origem,repositorio,timestamp_dt,data,hora
parseInt,2026-02-27 20:11:28,domingos.js,1,11,domingos.json,Raqueli-S,2026-02-27 20:11:28,2026-02-27,20
E,2026-02-27 20:13:59,domingos.js,1,44,domingos.json,Raqueli-S,2026-02-27 20:13:59,2026-02-27,20
parseInt,2026-02-27 20:44:57,domingos.js,2,25,domingos.json,Raqueli-S,2026-02-27 20:44:57,2026-02-27,20
prompt,2026-02-27 20:45:11,domingos.js,2,34,domingos.json,Raqueli-S,2026-02-27 20:45:11,2026-02-27,20
var,2026-02-27 20:45:41,domingos.js,3,1,domingos.json,Raqueli-S,2026-02-27 20:45:41,2026-02-27,20
for,2026-02-27 22:23:15,domingos.js,12,1,domingos.json,Raqueli-S,2026-02-27 22:23:15,2026-02-27,22
alert,2026-02-27 22:25:42,domingos.js,15,1,domingos.json,Raqueli-S,2026-02-27 22:25:42,2026-02-27,22
parseInt,2026-03-12 19:47:52,vaquinha.js,3,20,vaquinha.json,Raqueli-S,2026-03-12 19:47:52,2026-03-12,19
prompt,2026-03-12 19:48:00,vaquinha.js,3,29,vaquinha.json,Raqueli-S,2026-03-12 19:48:00,2026-03-12,19
for,2026-03-12 19:49:18,vaquinha.js,4,5,vaquinha.json,Raqueli-S,2026-03-12 19:49:18,2026-03-12,19
parseFloat,2026-03-12 19:54:25,vaquinha.js,5,18,vaquinha.json,Raqueli-S,2026-03-12 19:54:25,2026-03-12,19
prompt,2026-03-12 19:54:31,vaquinha.js,5,29,vaquinha.json,Raqueli-S,2026-03-12 19:54:31,2026-03-12,19
alert,2026-03-12 19:56:13,vaquinha.js,8,5,vaquinha.json,Raqueli-S,2026-03-12 19:56:13,2026-03-12,19
for,2026-03-12 20:08:07,vaquinha.js,9,5,vaquinha.json,Raqueli-S,2026-03-12 20:08:07,2026-03-12,20
for,2026-02-26 20:04:05,jogos.js,3,1,jogos.json,Raqueli-S,2026-02-26 20:04:05,2026-02-26,20
let,2026-02-26 20:04:05,jogos.js,3,6,jogos.json,Raqueli-S,2026-02-26 20:04:05,2026-02-26,20
for,2026-02-26 20:04:23,jogos.js,12,5,jogos.json,Raqueli-S,2026-02-26 20:04:23,2026-02-26,20
let,2026-02-26 20:04:23,jogos.js,12,10,jogos.json,Raqueli-S,2026-02-26 20:04:23,2026-02-26,20
for,2026-02-26 20:13:38,jogos.js,16,1,jogos.json,Raqueli-S,2026-02-26 20:13:38,2026-02-26,20
alert,2026-02-26 20:28:34,jogos.js,16,1,jogos.json,Raqueli-S,2026-02-26 20:28:34,2026-02-26,20
alert,2026-02-20 20:35:53,main.js,1,1,main.json,Raqueli-S,2026-02-20 20:35:53,2026-02-20,20
parseInt,2026-02-26 22:14:29,par_impar.js,1,14,par_impar.json,Raqueli-S,2026-02-26 22:14:29,2026-02-26,22
parseInt,2026-02-26 22:20:00,par_impar.js,2,12,par_impar.json,Raqueli-S,2026-02-26 22:20:00,2026-02-26,22
prompt,2026-02-26 22:20:19,par_impar.js,2,22,par_impar.json,Raqueli-S,2026-02-26 22:20:19,2026-02-26,22
parseInt,2026-02-26 22:22:19,par_impar.js,4,13,par_impar.json,Raqueli-S,2026-02-26 22:22:19,2026-02-26,22
else,2026-02-26 22:24:30,par_impar.js,8,1,par_impar.json,Raqueli-S,2026-02-26 22:24:30,2026-02-26,22
alert,2026-02-26 22:24:57,par_impar.js,10,1,par_impar.json,Raqueli-S,2026-02-26 22:24:57,2026-02-26,22
function,2026-03-25 21:17:02,funcao_soma.js,1,1,funcao_soma.json,Raqueli-S,2026-03-25 21:17:02,2026-03-25,21
return,2026-03-25 21:17:54,funcao_soma.js,2,5,funcao_soma.json,Raqueli-S,2026-03-25 21:17:54,2026-03-25,21
parseInt,2026-03-25 21:18:40,funcao_soma.js,4,7,funcao_soma.json,Raqueli-S,2026-03-25 21:18:40,2026-03-25,21
prompt,2026-03-25 21:18:47,funcao_soma.js,4,16,funcao_soma.json,Raqueli-S,2026-03-25 21:18:47,2026-03-25,21
parseInt,2026-03-25 21:19:51,funcao_soma.js,5,7,funcao_soma.json,Raqueli-S,2026-03-25 21:19:51,2026-03-25,21
prompt,2026-03-25 21:20:01,funcao_soma.js,5,16,funcao_soma.json,Raqueli-S,2026-03-25 21:20:01,2026-03-25,21
alert,2026-03-25 21:21:13,funcao_soma.js,6,1,funcao_soma.json,Raqueli-S,2026-03-25 21:21:13,2026-03-25,21
parseInt,2026-03-25 21:33:37,funcao_soma.js,7,19,funcao_soma.json,Raqueli-S,2026-03-25 21:33:37,2026-03-25,21
function,2026-03-25 21:34:18,funcao_soma.js,7,10,funcao_soma.json,Raqueli-S,2026-03-25 21:34:18,2026-03-25,21
prompt,2026-03-25 21:35:23,funcao_soma.js,7,28,funcao_soma.json,Raqueli-S,2026-03-25 21:35:23,2026-03-25,21
